id,name,type,is_island,district,radius_meters,source,lat,lon,geo_display,lat,lon,geo_display
P001,中環九號碼頭,pier,false,,50,TLB-1-c1.pdf,,,,,,
P002,中環十號碼頭,pier,false,,50,TLB-1-c1.pdf,,,,,,
P003,糖水道碼頭,pier,false,,50,TLB-1-c1.pdf,,,,,,
P004,長洲公眾碼頭,pier,false,離島,50,TLB-1-c1.pdf,,,,,,
P005,芝麻灣碼頭,pier,false,離島,50,TLB-1-c1.pdf,,,,,,
P006,蘆荻灣碼頭,pier,false,離島,50,TLB-1-c1.pdf,,,,,,
P007,鹿洲村碼頭,pier,false,離島,50,TLB-1-c1.pdf,,,,,,
P008,坪洲公眾碼頭,pier,false,離島,50,TLB-1-c1.pdf,,,,,,
P009,蒲台公眾碼頭,pier,false,離島,50,TLB-1-c1.pdf,,,,,,
P010,西灣碼頭,pier,false,離島,50,TLB-1-c1.pdf,,,,,,
P011,沙螺灣碼頭,pier,false,離島,50,TLB-1-c1.pdf,,,,,,
P012,索罟灣二號碼頭,pier,false,離島,50,TLB-1-c1.pdf,,,,,,
P013,索罟灣公眾碼頭,pier,false,離島,50,TLB-1-c1.pdf,,,,,,
P014,大利島碼頭,pier,false,離島,50,TLB-1-c1.pdf,,,,,,
P015,大澳公眾碼頭,pier,false,離島,50,TLB-1-c1.pdf,,,,,,
P016,大水坑碼頭,pier,false,離島,50,TLB-1-c1.pdf,,,,,,
P017,東涌發展碼頭(公眾),pier,false,離島,50,TLB-1-c1.pdf,,,,,,
P018,東涌公眾碼頭,pier,false,離島,50,TLB-1-c1.pdf,,,,,,
P019,榕樹灣發展碼頭,pier,false,離島,50,TLB-1-c1.pdf,,,,,,
P020,榕樹灣公眾碼頭,pier,false,離島,50,TLB-1-c1.pdf,,,,,,
P021,青衣公眾碼頭,pier,false,葵青,50,TLB-1-c1.pdf,,,,,,
P022,觀塘公眾碼頭,pier,false,觀塘,50,TLB-1-c1.pdf,,,,,,
P023,鴨洲公眾碼頭,pier,false,,50,TLB-1-c1.pdf,,,,,,
P024,吉澳洲碼頭,pier,false,,50,TLB-1-c1.pdf,,,,,,
P025,沙頭角公眾碼頭,pier,false,,50,TLB-1-c1.pdf,,,,,,
P026,大廟灣公眾碼頭,pier,false,西貢,50,TLB-1-c1.pdf,,,,,,
P027,北丫碼頭,pier,false,西貢,50,TLB-1-c1.pdf,,,,,,
P028,白沙灣第二碼頭,pier,false,西貢,50,TLB-1-c1.pdf,,,,,,
P029,布袋澳二號碼頭,pier,false,西貢,50,TLB-1-c1.pdf,,,,,,
P030,西貢新公眾碼頭,pier,false,西貢,50,TLB-1-c1.pdf,,,,,,
P031,西貢公眾碼頭,pier,false,西貢,50,TLB-1-c1.pdf,,,,,,
P032,大頭洲碼頭,pier,false,西貢,50,TLB-1-c1.pdf,,,,,,
P033,調景嶺碼頭,pier,false,西貢,50,TLB-1-c1.pdf,,,,,,
P034,早禾坑碼頭,pier,false,西貢,50,TLB-1-c1.pdf,,,,,,
P035,東龍洲北碼頭,pier,false,西貢,50,TLB-1-c1.pdf,,,,,,
P036,東龍洲公眾碼頭,pier,false,西貢,50,TLB-1-c1.pdf,,,,,,
P037,鹽田仔碼頭,pier,false,西貢,50,TLB-1-c1.pdf,,,,,,
P038,馬料水渡輪碼頭,pier,false,沙田,50,TLB-1-c1.pdf,,,,,,
P039,烏溪沙碼頭,pier,false,沙田,50,TLB-1-c1.pdf,,,,,,
P040,赤柱卜公碼頭,pier,false,,50,TLB-1-c1.pdf,,,,,,
P041,聖士提反灣 (南 )碼頭,pier,false,,50,TLB-1-c1.pdf,,,,,,
P042,大潭灣碼頭,pier,false,,50,TLB-1-c1.pdf,,,,,,
P043,高流灣公眾碼頭,pier,false,大埔,50,TLB-1-c1.pdf,,,,,,
P044,荔枝莊碼頭,pier,false,大埔,50,TLB-1-c1.pdf,,,,,,
P045,三門仔村碼頭,pier,false,大埔,50,TLB-1-c1.pdf,,,,,,
P046,大美督一號碼頭,pier,false,大埔,50,TLB-1-c1.pdf,,,,,,
P047,大埔鐵路碼頭,pier,false,大埔,50,TLB-1-c1.pdf,,,,,,
P048,塔門碼頭,pier,false,大埔,50,TLB-1-c1.pdf,,,,,,
P049,東平洲公眾碼頭,pier,false,大埔,50,TLB-1-c1.pdf,,,,,,
P050,黃石公眾碼頭,pier,false,大埔,50,TLB-1-c1.pdf,,,,,,
P051,深井 釣魚灣碼頭,pier,false,荃灣,50,TLB-1-c1.pdf,,,,,,
P052,深井公眾碼頭,pier,false,荃灣,50,TLB-1-c1.pdf,,,,,,
P053,大排咀碼頭,pier,false,荃灣,50,TLB-1-c1.pdf,,,,,,
P054,荃灣渡輪碼頭 (西鐵 ),pier,false,荃灣,50,TLB-1-c1.pdf,,,,,,
P055,油柑頭碼頭,pier,false,荃灣,50,TLB-1-c1.pdf,,,,,,
P056,嘉道理碼頭,pier,false,屯門,50,TLB-1-c1.pdf,,,,,,
P057,九龍公眾碼頭,pier,false,油尖旺,50,TLB-1-c1.pdf,,,,,,
I001,"A Chau (, Centre Island)",island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I002,A Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I003,Adamasta Rock,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I004,Ap Chau Mei Pak Tun Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I005,Ap Chau Pak Tun Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I006,"Ap Chau (, Robinson Island)",island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I007,"Ap Lei Chau (, Aberdeen Island)",island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I008,Ap Lei Pai,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I009,Ap Lo Chun,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I010,Ap Tan Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I011,Ap Tau Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I012,"Bay Islet (, See Chau)",island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I013,Breaker Reef,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I014,Bun Bei Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I015,Bun Sha Pai,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I016,Cha Kwo Chau,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I017,Cha Yue Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I018,Cham Pai,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I019,Cham Tau Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I020,Chap Mo Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I021,Chau Tsai Kok,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
I022,Chau Tsai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,,,,,,
